formula,Cs,CAS,MW,feromonas,especies,totaluses,P,A,Al,K,Sy,Alelo
C22H44O2,22,36528-28-6,340.58,"['P', 'P']","['Centris analis', 'Pogonomyrmex barbatus']",2,2,0,0,0,0,0
C6H12O2,6,868-57-5,116.16,"['A', 'P', 'P', 'Al', 'Al', 'P', 'Al', 'Al', 'P', 'P', 'P', 'Al', 'P', 'Al', 'Al', 'P', 'Al', 'P', 'P']","['Cyclocephala literata', 'Graphium doson albidum', 'Graphium sarpedon nipponum', 'Chilasa agestor', 'Chilasa epycides', 'Papilio bianor', 'Papilio demoleus', 'Papilio glaucus', 'Papilio helenus', 'Papilio maackii', 'Papilio machaon', 'Papilio macilentus', 'Papilio memnon', 'Papilio paris', 'Papilio polytes', 'Papilio protenor demetrius', 'Papilio troilus', 'Papilio xuthus', 'Parnassius glacialis']",19,10,1,8,0,0,9
C19H36O2,19,,296.49,"['P', 'P', 'P', 'P', 'P', 'P', 'P']","['Gephyromantis boulengeri', 'Mantella aurantiaca', 'Bombus magnus', 'Bombus terrestris', 'Trigona recursa', 'Priophorus brullei', 'Bonagota salubricola']",7,7,0,0,0,0,0
C33H64,33,,460.86,"['P', 'P', 'P']","['Drosophila arizonae', 'Drosophila mojavensis', 'Drosophila navojoa']",3,3,0,0,0,0,0
C10H16N2,10,40790-29-2,164.25,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Dinoroseobacter shibae', 'Loktanella sp', 'Tachytes guatemalensis', 'Eremnophila aureonotata', 'Leptochilus acolhuus', 'Anastrepha fraterculus', 'Iridomyrmex purpureus', 'Odontomachus bauri', 'Pachycondyla striata', 'Streblognathus aethiopicus', 'Bicyrtes ventralis']",11,11,0,0,0,0,0
C14H25NO2,14,39785-81-4,239.35,"['Al', 'Al', 'Al', 'Al']","['Mansonia annulifera', 'Mansonia indiana', 'Mansonia uniformis', 'Simulium himalayense']",4,0,0,4,0,0,4
C10H16O,10,,152.23,['K'],['Monochamus alternatus'],1,0,0,0,1,0,1
C38H76O2,38,,565.01,['P'],['Hypotrigona araujoi'],1,1,0,0,0,0,0
C33H64,33,,460.86,['P'],['Hydrotaea aenescens'],1,1,0,0,0,0,0
C14H28O,14,124-25-4,212.37,"['Al', 'P', 'P', 'A', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Eocanthecona furcellata', 'Chrysocoris stolli', 'Diatraea flavipennella', 'Platysenta videns', 'Helicoverpa armigera', 'Heliothis peltigera', 'Heliothis subflexa', 'Heliothis virescens', 'Heliothis virescens', 'Cheimophila salicella', 'Vitula edmandsii serratilineella', 'Cervus nippon', 'Drusilla canaliculata', 'Euschistus conspersus', 'Euschistus heros', 'Bombus sporadicus', 'Bombus terrestris dalmatinus', 'Fernaldaepsithyrus quadricolor', 'Fernaldaepsithyrus sylvestris', 'Psithyrus bohemicus', 'Psithyrus globosus', 'Psithyrus rupestris', 'Psithyrus silvestris', 'Frieseomelitta silvestrii', 'Frieseomelitta silvestrii languida', 'Plebeia droryana', 'Spathius agrili', 'Philanthus barbatus', 'Cerapachys jacobsoni', 'Formica selysi', 'Proformica longiseta', 'Rossomyrmex minuchae', 'Zacryptocerus pusillus', 'Nematus prasinus', 'Macronoctua onusta', 'Choristoneura fumiferana', 'Choristoneura occidentalis', 'Proeulia triquetra', 'Cenopis acerivorana', 'Croesia curvalana', 'Sphodromantis lineola', 'Dociostaurus maroccanus']",42,34,1,7,0,0,8
